,STATION,LINENAME,DAILYENTRY,DAILYEXIT,ZIPCODE,AVG H INCOME,INCOME DIVISION BY MEDIAN,RATING
0,34 ST-PENN STA,ACE,998084,863291,10001,"$40,932.00",0.807162154,805615.631312936
1,GRD CNTRL-42 ST,4567S,944432,826056,10170,$0.00,0.0,0.0
2,34 ST-HERALD SQ,BDFMNQRW,863293,985465,10001,"$40,932.00",0.807162154,696817.437413122
3,42 ST-PORT AUTH,ACENQRS1237W,841431,625774,10011,"$61,986.00",1.2223383490000002,1028513.3793374192
4,FULTON ST,2345ACJZ,760685,669426,10038,"$31,316.00",0.617538601,469752.350701685
5,TIMES SQ-42 ST,1237ACENQRSW,644668,563553,10036,"$41,002.00",0.808542525,521241.4925067
6,PATH NEW WTC,1,578550,559872,10007,"$112,947.00",2.227268246,1288586.0437232999
7,CANAL ST,JNQRZ6W,552788,438583,10013,"$38,304.00",0.755339078,417542.378249464
8,59 ST,456NQRW,508822,527214,11220,"$30,152.00",0.594585001,302537.929378822
9,FLUSHING-MAIN,7,490510,593931,11354,"$37,155.00",0.732681272,359387.49072872
10,47-50 STS ROCK,BDFM,478584,497381,10020,$0.00,0.0,0.0
11,14 ST-UNION SQ,LNQR456W,470685,417703,10003,"$60,891.00",1.2007454,565172.848599
12,86 ST,456,447470,337600,10024,"$78,066.00",1.539429315,688848.43558305
13,ATL AV-BARCLAY,BDNQR2345,435497,370568,11217,"$49,567.00",0.977440792,425672.532593624
14,JKSN HT-ROOSVLT,EFMR7,434232,398246,11372,"$39,084.00",0.7707203570000001,334671.442060824
15,59 ST COLUMBUS,ABCD1,428632,431036,10023,"$72,424.00",1.4281714030000001,612159.9648106961
16,LEXINGTON AV/53,EM6,422861,438233,10022,"$80,406.00",1.58557315,670477.0477821501
17,W 4 ST-WASH SQ,ABCDEFM,420295,291975,10012,"$58,313.00",1.149908304,483300.71062968
18,96 ST,123,412109,420814,10128,"$70,031.00",1.38098243,569115.28824487
19,33 ST,6,406916,391243,10016,"$66,342.00",1.308236872,532342.515006752
20,DELANCEY/ESSEX,FJMZ,404135,363804,10002,"$24,022.00",0.47370393,191440.33775055
21,42 ST-BRYANT PK,BDFM7,400973,343383,10021,"$75,472.00",1.488276705,596758.775233965
22,CHAMBERS ST,ACE23,396029,310034,10007,"$112,947.00",2.227268246,882062.816195134
23,JAY ST-METROTEC,ACF,391239,364672,11201,"$56,293.00",1.110074737,434304.530029143
24,CORTLANDT ST,RNW,381052,221956,10006,"$81,334.00",1.6038729269999998,611158.986579204
25,BOROUGH HALL,2345R,356041,302468,11201,"$56,293.00",1.110074737,395232.11943621695
26,FOREST HILLS 71,EFMR,355355,275812,11375,"$51,350.00",1.012600816,359832.76296968
27,34 ST-PENN STA,123,349325,319356,10001,"$40,932.00",0.807162154,281961.91944605
28,23 ST,6,349211,331362,10010,"$62,467.00",1.23182347,430166.30578217
29,49 ST,NQRW,344077,317805,10019,"$55,869.00",1.101713632,379074.321357664
30,34 ST-PENN STA,123ACE,342088,348891,10001,"$40,932.00",0.807162154,276120.486937552
31,BOWLING GREEN,45,334009,234155,10004,"$101,868.00",2.008794936,670955.587778424
32,72 ST,123,331515,335911,10023,"$72,424.00",1.4281714030000001,473460.242665545
33,CROWN HTS-UTICA,34,330737,255387,11213,"$26,366.00",0.519926643,171958.978125891
34,50 ST,1,330509,262563,10019,"$55,869.00",1.101713632,364126.270798688
35,86 ST,1,324476,270417,10024,"$78,066.00",1.539429315,499507.86641394004
36,JOURNAL SQUARE,1,324305,236276,7306,,,
37,ATL AV-BARCLAY,2345BDNQR,323581,187923,11217,"$49,567.00",0.977440792,316281.268916152
38,51 ST,6,321153,321403,10022,"$80,406.00",1.58557315,509211.57384195004
39,JAMAICA 179 ST,F,315006,198914,11432,"$42,414.00",0.836386583,263466.791964498
40,125 ST,ACBD,312617,282571,10027,"$23,150.00",0.45650845,142712.30211365002
41,14 ST,123FLM,309299,221697,10011,"$61,986.00",1.2223383490000002,378068.029007351
42,CONEY IS-STILLW,DFNQ,305696,240071,11224,"$21,281.00",0.419652541,128286.103173536
43,JAMAICA CENTER,EJZ,305099,320295,11433,"$31,869.00",0.628443533,191737.493474767
44,57 ST-7 AV,NQRW,304992,275586,10019,"$55,869.00",1.101713632,336013.844050944
45,KEW GARDENS,EF,297975,258362,11415,"$45,344.00",0.8941649740000001,266438.80812765
46,WALL ST,23,296963,302340,10005,"$79,517.00",1.568042437,465650.58621883095
47,GROVE STREET,1,293310,304900,7302,,,
48,28 ST,6,293293,282408,10016,"$66,342.00",1.308236872,383696.716899496
49,BEDFORD AV,L,719741,756642,11211,"$23,567.00",0.46473151799999995,334486.32749683794
50,WALL ST,23,704449,710705,10005,"$79,517.00",1.568042437,1104605.926702213
51,72 ST-2 AVE,Q,703167,659271,10021,"$75,472.00",1.488276705,1046507.0658247351
52,EXCHANGE PLACE,1,700916,519702,7302,,,
53,23 ST,6,699627,651760,10010,"$62,467.00",1.23182347,861816.9588456899
54,49 ST,NQRW,691362,737398,10019,"$55,869.00",1.101713632,761682.940046784
55,KEW GARDENS,EF,688710,683825,11415,"$45,344.00",0.8941649740000001,615820.3592435401
56,ST. GEORGE,1,683656,6,10301,"$45,620.00",0.89960758,615022.11971248
57,CORTLANDT ST,RNW,680767,588962,10006,"$81,334.00",1.6038729269999998,1091863.760895009
58,5 AV/53 ST,EM,673226,768841,10019,"$55,869.00",1.101713632,741702.261616832
59,14 ST,123FLM,669300,505433,10011,"$61,986.00",1.2223383490000002,818111.0569857002
60,86 ST-2 AVE,Q,668613,518840,10028,"$77,565.00",1.5295498019999998,1022676.8817646259
61,ATL AV-BARCLAY,2345BDNQR,649124,636834,11217,"$49,567.00",0.977440792,634480.276666208
62,8 AV,ACEL,634782,388996,10011,"$61,986.00",1.2223383490000002,775918.3818549181
63,23 ST,FM,632978,525084,10010,"$62,467.00",1.23182347,779717.15639366
64,23 ST,CE,626669,438349,10010,"$62,467.00",1.23182347,771945.58212143
65,THIRTY THIRD ST,1,625614,574461,10001,"$40,932.00",0.807162154,504971.94381255604
66,GRAND ST,BD,624885,471307,10002,"$24,022.00",0.47370393,296010.48029805
67,50 ST,1,616709,706284,10019,"$55,869.00",1.101713632,679436.7122770881
