STATION,LINENAME,DAILYENTRY,DAILYEXIT,ZIPCODE,AVG H INCOME,INCOME DIVISION BY MEDIAN
34 ST-PENN STA,ACE,998084,863291,10001,"$40,932.00",0.807162154
GRD CNTRL-42 ST,4567S,944432,826056,10170,$0.00,0
34 ST-HERALD SQ,BDFMNQRW,863293,985465,10001,"$40,932.00",0.807162154
42 ST-PORT AUTH,ACENQRS1237W,841431,625774,10011,"$61,986.00",1.222338349
FULTON ST,2345ACJZ,760685,669426,10038,"$31,316.00",0.617538601
TIMES SQ-42 ST,1237ACENQRSW,644668,563553,10036,"$41,002.00",0.808542525
PATH NEW WTC,1,578550,559872,10007,"$112,947.00",2.227268246
CANAL ST,JNQRZ6W,552788,438583,10013,"$38,304.00",0.755339078
59 ST,456NQRW,508822,527214,11220,"$30,152.00",0.594585001
FLUSHING-MAIN,7,490510,593931,11354,"$37,155.00",0.732681272
47-50 STS ROCK,BDFM,478584,497381,10020,$0.00,0
14 ST-UNION SQ,LNQR456W,470685,417703,10003,"$60,891.00",1.2007454
86 ST,456,447470,337600,10024,"$78,066.00",1.539429315
ATL AV-BARCLAY,BDNQR2345,435497,370568,11217,"$49,567.00",0.977440792
JKSN HT-ROOSVLT,EFMR7,434232,398246,11372,"$39,084.00",0.770720357
59 ST COLUMBUS,ABCD1,428632,431036,10023,"$72,424.00",1.428171403
LEXINGTON AV/53,EM6,422861,438233,10022,"$80,406.00",1.58557315
W 4 ST-WASH SQ,ABCDEFM,420295,291975,10012,"$58,313.00",1.149908304
96 ST,123,412109,420814,10128,"$70,031.00",1.38098243
33 ST,6,406916,391243,10016,"$66,342.00",1.308236872
DELANCEY/ESSEX,FJMZ,404135,363804,10002,"$24,022.00",0.47370393
42 ST-BRYANT PK,BDFM7,400973,343383,10021,"$75,472.00",1.488276705
CHAMBERS ST,ACE23,396029,310034,10007,"$112,947.00",2.227268246
JAY ST-METROTEC,ACF,391239,364672,11201,"$56,293.00",1.110074737
CORTLANDT ST,RNW,381052,221956,10006,"$81,334.00",1.603872927
BOROUGH HALL,2345R,356041,302468,11201,"$56,293.00",1.110074737
FOREST HILLS 71,EFMR,355355,275812,11375,"$51,350.00",1.012600816
34 ST-PENN STA,123,349325,319356,10001,"$40,932.00",0.807162154
23 ST,6,349211,331362,10010,"$62,467.00",1.23182347
49 ST,NQRW,344077,317805,10019,"$55,869.00",1.101713632
34 ST-PENN STA,123ACE,342088,348891,10001,"$40,932.00",0.807162154
BOWLING GREEN,45,334009,234155,10004,"$101,868.00",2.008794936
72 ST,123,331515,335911,10023,"$72,424.00",1.428171403
CROWN HTS-UTICA,34,330737,255387,11213,"$26,366.00",0.519926643
50 ST,1,330509,262563,10019,"$55,869.00",1.101713632
86 ST,1,324476,270417,10024,"$78,066.00",1.539429315
JOURNAL SQUARE,1,324305,236276,7306,#N/A,#N/A
ATL AV-BARCLAY,2345BDNQR,323581,187923,11217,"$49,567.00",0.977440792
51 ST,6,321153,321403,10022,"$80,406.00",1.58557315
JAMAICA 179 ST,F,315006,198914,11432,"$42,414.00",0.836386583
125 ST,ACBD,312617,282571,10027,"$23,150.00",0.45650845
14 ST,123FLM,309299,221697,10011,"$61,986.00",1.222338349
CONEY IS-STILLW,DFNQ,305696,240071,11224,"$21,281.00",0.419652541
JAMAICA CENTER,EJZ,305099,320295,11433,"$31,869.00",0.628443533
57 ST-7 AV,NQRW,304992,275586,10019,"$55,869.00",1.101713632
KEW GARDENS,EF,297975,258362,11415,"$45,344.00",0.894164974
WALL ST,23,296963,302340,10005,"$79,517.00",1.568042437
GROVE STREET,1,293310,304900,7302,#N/A,#N/A
28 ST,6,293293,282408,10016,"$66,342.00",1.308236872
BEDFORD AV,L,719741,756642,11211,"$23,567.00",0.464731518
WALL ST,23,704449,710705,10005,"$79,517.00",1.568042437
72 ST-2 AVE,Q,703167,659271,10021,"$75,472.00",1.488276705
EXCHANGE PLACE,1,700916,519702,7302,#N/A,#N/A
23 ST,6,699627,651760,10010,"$62,467.00",1.23182347
49 ST,NQRW,691362,737398,10019,"$55,869.00",1.101713632
KEW GARDENS,EF,688710,683825,11415,"$45,344.00",0.894164974
ST. GEORGE,1,683656,6,10301,"$45,620.00",0.89960758
CORTLANDT ST,RNW,680767,588962,10006,"$81,334.00",1.603872927
5 AV/53 ST,EM,673226,768841,10019,"$55,869.00",1.101713632
14 ST,123FLM,669300,505433,10011,"$61,986.00",1.222338349
86 ST-2 AVE,Q,668613,518840,10028,"$77,565.00",1.529549802
ATL AV-BARCLAY,2345BDNQR,649124,636834,11217,"$49,567.00",0.977440792
8 AV,ACEL,634782,388996,10011,"$61,986.00",1.222338349
23 ST,FM,632978,525084,10010,"$62,467.00",1.23182347
23 ST,CE,626669,438349,10010,"$62,467.00",1.23182347
THIRTY THIRD ST,1,625614,574461,10001,"$40,932.00",0.807162154
GRAND ST,BD,624885,471307,10002,"$24,022.00",0.47370393
50 ST,1,616709,706284,10019,"$55,869.00",1.101713632